level,model,kind,count,latencyMeanSec,latencyRawMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceRawMeanSec,serviceMedianSec,serviceStdSec,serviceCv,localNetworkCompensationMeanSec,stage,meanMs,medianMs,minMs,maxMs
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiTargetCAAssertionVerify,9.148754815005848,8.946700006723404,8.21849998831749,104.7136999964714
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiTargetCAOcspHttpQuery,13.533070170930309,11.651099994778631,10.66830000281334,138.99180001020432
stage,PKI,intra-pki,16380,,,,,,,,,,,pkiLeafOcspHttpQuery,13.229580738682014,11.652499973773956,10.601600021123886,139.0983999967575
stage,PKI,intra-pki,16380,,,,,,,,,,,pkiOpenSslAssertionSign,17.26959717948176,17.20014999806881,14.661900013685226,242.34720000624657
stage,PKI,intra-pki,16380,,,,,,,,,,,pkiOpenSslAssertionVerify,9.18171621484634,8.94114999473095,8.169099986553192,144.98230001330376
stage,PKI,intra-pki,16380,,,,,,,,,,,pkiOpenSslVerifyLeaf,8.795806233210078,8.707900017499924,7.74210000038147,15.489100009202955
stage,PKI,management,2600,,,,,,,,,,,pkiManagementIssuerAssertionSign,17.133718807617058,17.137600019574165,14.674300014972689,93.70099997520448
stage,PKI,management,2600,,,,,,,,,,,pkiManagementIssuerAssertionVerify,9.153845692127945,8.96339999139309,8.196600019931793,127.80880001187325
stage,PKI,management,2600,,,,,,,,,,,pkiManagementLeafAssertionSign,17.2052533460695,17.10529999434948,14.643299996852877,143.09459999203682
stage,PKI,management,2600,,,,,,,,,,,pkiManagementLeafAssertionVerify,9.22836899930468,8.96899999678135,8.271799981594086,128.5451000034809
stage,PKI,management,2600,,,,,,,,,,,pkiManagementOpenSslVerifyIssuerCA,8.749078307862465,8.657899990677834,7.893599987030029,13.548200011253355
stage,PKI,management,2600,,,,,,,,,,,pkiManagementOpenSslVerifyLeaf,8.963940922847161,8.868049994111061,8.053900003433228,16.546499997377396
stage,PKI,management,2600,,,,,,,,,,,pkiManagementVerifyRepositoryUpdate,0.1133376924349711,0.1104000210762023,0.0890999734401702,0.3251000046730041
stage,PKI,management,2600,,,,,,,,,,,pkiOpenSslIssueCsr,16.95055280742737,16.819900006055832,15.860199987888336,27.24159997701645
stage,PKI,management,2600,,,,,,,,,,,pkiOpenSslIssueExtractPubkey,8.817232461766555,8.708499997854233,7.931299984455109,23.84659999608993
stage,PKI,management,2600,,,,,,,,,,,pkiOpenSslIssueKeygen,40.13680434608689,35.477100014686584,14.42450001835823,153.23759999871254
stage,PKI,management,2600,,,,,,,,,,,pkiOpenSslIssueSignCert,13.276054538293527,12.74575001001358,11.812999993562698,139.22299998998642
