epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs
0.2,PKI,intra-pki,1440,191.1944751912293,177.83166458316975,53.03152695633409,47.77664763983339,2.3698017565006935,2.8850775599999996
0.2,PKI,management,200,206.8553221364978,192.84790300011636,151.2176749507631,150.00343700036407,1.2142379503990377,0.0
0.25,DPKI,cross-domain,450,104.47064163561743,102.92344555517037,104.06491097234422,102.51771489189731,1.5471960804469078,0.0
0.25,DPKI,intra-off-chain,945,52.09355026439384,52.09355026439384,51.705402644664524,51.705402644664524,0.0,0.0
0.25,DPKI,intra-on-chain,405,103.15760558505171,102.23699506160654,102.75473422687789,101.83412370343267,0.9206105234452098,0.0
0.25,DPKI,management,200,205.13409521547422,203.6764150004089,204.3765932176757,202.9189130026102,1.457680215065484,0.0
0.25,PKI,cross-domain,450,678.3681993938152,663.622438666688,199.62191729159122,191.69873200250996,0.834463779081237,7.08872151
0.25,PKI,intra-pki,1350,204.11200313200277,189.9208146667039,52.84515286380863,48.143173185918066,1.8169021178905462,2.8850775599999996
0.25,PKI,management,200,206.18578783491438,191.41604450002313,148.9529488758859,148.05392549976708,0.8990233761188574,0.0
0.3,DPKI,cross-domain,540,103.94121484363859,102.82372537023491,103.55143113908174,102.43394166567812,1.1174894734036167,0.0
0.3,DPKI,intra-off-chain,882,51.84639058932831,51.84639058932831,51.46432686997514,51.46432686997514,0.0,0.0
0.3,DPKI,intra-on-chain,378,106.62066377195048,104.83659444386682,106.22357303109372,104.43950370301015,1.784069328083587,0.0
0.3,DPKI,management,200,207.58763971101146,206.03298550009728,206.83904370974375,205.28438949882985,1.5546542109139136,0.0
0.3,PKI,cross-domain,540,670.0968000527378,651.861512037339,201.30691156993967,192.71271110833794,1.5054789516017166,7.08872151
0.3,PKI,intra-pki,1260,203.34063758574771,186.95324754000657,52.438879382041755,47.73281238034131,1.82098944170043,2.8850775599999996
0.3,PKI,management,200,214.30666440508844,193.32038900136948,148.85761754155675,148.03166799947618,0.8259495420805615,0.0
0.35,DPKI,cross-domain,630,106.13248544577453,104.49118349254131,105.72991163324602,104.08860968001305,1.64130195323297,0.0
0.35,DPKI,intra-off-chain,819,51.799600122030256,51.799600122030256,51.41096324751083,51.41096324751083,0.0,0.0
0.35,DPKI,intra-on-chain,351,104.06788692270999,102.4872344739077,103.66329148167625,102.08263903287401,1.5806524488022358,0.0
0.35,DPKI,management,200,208.65974499083873,207.2826645000279,207.9190819904938,206.54200149968267,1.3770804908111092,0.0
0.35,PKI,cross-domain,630,702.496634465394,681.9652311114564,202.87950064050406,194.1680287315732,1.622750398930888,7.088721510000001
0.35,PKI,intra-pki,1170,212.40049806117997,196.73735051287545,53.394138485868545,48.74700794810923,1.7620529777593104,2.8850775599999996
0.35,PKI,management,200,216.6010015663143,201.58028750061987,153.77214560224792,152.55750349014997,1.2146421120979358,0.0
0.4,DPKI,cross-domain,720,102.6691542134468,101.73886194452643,102.27116129741395,101.34086902849376,0.9302922689202003,0.0
0.4,DPKI,intra-off-chain,756,51.42162724879999,51.42162724879999,51.03455251309449,51.03455251309449,0.0,0.0
