epsilon,source,model,E_T_total
0.21428571428571427,Theory,PKI FCFS,0.26106537530266344
0.21428571428571427,Theory,DPKI Upper,0.25125211381088064
0.21428571428571427,Theory,DPKI Lower,0.22239230607409938
0.22857142857142856,Theory,PKI FCFS,0.2662082324455206
0.22857142857142856,Theory,DPKI Upper,0.25364050289190987
0.22857142857142856,Theory,DPKI Lower,0.2240798282762977
0.24285714285714285,Theory,PKI FCFS,0.2713510895883778
0.24285714285714285,Theory,DPKI Upper,0.25606654383815697
0.24285714285714285,Theory,DPKI Lower,0.22579715859463012
0.2571428571428571,Theory,PKI FCFS,0.2764939467312349
0.2571428571428571,Theory,DPKI Upper,0.2585307890777294
0.2571428571428571,Theory,DPKI Lower,0.2275447609899337
0.2714285714285714,Theory,PKI FCFS,0.281636803874092
0.2714285714285714,Theory,DPKI Upper,0.26103380256329134
0.2714285714285714,Theory,DPKI Lower,0.22932310910204182
0.2857142857142857,Theory,PKI FCFS,0.2867796610169492
0.2857142857142857,Theory,DPKI Upper,0.2635761600741595
0.2857142857142857,Theory,DPKI Lower,0.2311326865035015
0.3,Theory,PKI FCFS,0.2919225181598063
0.3,Theory,DPKI Upper,0.2661584495279515
0.3,Theory,DPKI Lower,0.23297398696131302
0.3142857142857143,Theory,PKI FCFS,0.29706537530266347
0.3142857142857143,Theory,DPKI Upper,0.26878127130214197
0.3142857142857143,Theory,DPKI Lower,0.2348475147069911
0.32857142857142857,Theory,PKI FCFS,0.3022082324455206
0.32857142857142857,Theory,DPKI Upper,0.27144523856589514
0.32857142857142857,Theory,DPKI Lower,0.23675378471525615
0.34285714285714286,Theory,PKI FCFS,0.30735108958837776
0.34285714285714286,Theory,DPKI Upper,0.2741509776225597
0.34285714285714286,Theory,DPKI Lower,0.23869332299168133
0.35714285714285715,Theory,PKI FCFS,0.31249394673123493
0.35714285714285715,Theory,DPKI Upper,0.27689912826322743
0.35714285714285715,Theory,DPKI Lower,0.2406666668696305
0.37142857142857144,Theory,PKI FCFS,0.31763680387409204
0.37142857142857144,Theory,DPKI Upper,0.27969034413177474
0.37142857142857144,Theory,DPKI Lower,0.24267436531684117
0.3857142857142857,Theory,PKI FCFS,0.32277966101694916
0.3857142857142857,Theory,DPKI Upper,0.28252529310182445
0.3857142857142857,Theory,DPKI Lower,0.24471697925201819
0.39999999999999997,Theory,PKI FCFS,0.32792251815980633
0.39999999999999997,Theory,DPKI Upper,0.2854046576660854
0.39999999999999997,Theory,DPKI Lower,0.24679508187182345
0.41428571428571426,Theory,PKI FCFS,0.33306537530266345
0.41428571428571426,Theory,DPKI Upper,0.2883291353385455
0.41428571428571426,Theory,DPKI Lower,0.24890925898865984
0.42857142857142855,Theory,PKI FCFS,0.3382082324455206
0.42857142857142855,Theory,DPKI Upper,0.29129943907001576
0.42857142857142855,Theory,DPKI Lower,0.25106010937966966
0.44285714285714284,Theory,PKI FCFS,0.34335108958837773
0.44285714285714284,Theory,DPKI Upper,0.2943162976775476
0.44285714285714284,Theory,DPKI Lower,0.2532482451473829
0.45714285714285713,Theory,PKI FCFS,0.3484939467312349
0.45714285714285713,Theory,DPKI Upper,0.2973804562882629
