pf,M,PKI_Availability,DPKI_Lower,DPKI_Upper
0.206896551724138,8,0.730727853665436,0.968772046686301,0.942621870057318
0.206896551724138,9,0.731765126001812,0.968840143665077,0.942689897400463
0.206896551724138,10,0.732579486622538,0.968857003906373,0.942706743234375
0.206896551724138,11,0.733235725560369,0.968861135144695,0.942710871491859
0.206896551724138,12,0.733775768119725,0.968862139147547,0.942711874877985
0.241379310344828,4,0.686855843759868,0.938109164074342,0.912047577496651
0.241379310344828,5,0.691035003564938,0.959375870053617,0.933247030013351
0.241379310344828,6,0.693652871992378,0.966026911956419,0.939881819634389
0.241379310344828,7,0.695444430515031,0.968033602503101,0.941884586534825
0.241379310344828,8,0.69674674231835,0.968624143230902,0.942474180154012
0.241379310344828,9,0.697735778274269,0.968794797796034,0.942644606106116
0.241379310344828,10,0.698512268600616,0.968843438322132,0.942693191449745
0.241379310344828,11,0.699137990392693,0.96885715384705,0.942706893654755
0.241379310344828,12,0.699652919298245,0.968860988362282,0.942710724954838
0.275862068965517,4,0.653555209555725,0.924995583638795,0.898996666436387
0.275862068965517,5,0.657531752358678,0.953588318552277,0.927479827660858
0.275862068965517,6,0.660022699424541,0.963704099968282,0.937565360091323
0.275862068965517,7,0.66172739833093,0.967157982590283,0.941010897372787
0.275862068965517,8,0.662966570525878,0.968308353127405,0.942158965721937
0.275862068965517,9,0.663907655336179,0.968684577904124,0.942534555411621
0.275862068965517,10,0.664646499305498,0.968805920998237,0.942655723309292
0.275862068965517,11,0.665241884408005,0.968844632644968,0.94269438662597
0.275862068965517,12,0.66573184816362,0.968856874999423,0.942706615647997
0.310344827586207,4,0.620452662402368,0.908905915109892,0.882998136556493
0.310344827586207,5,0.62422779345966,0.945627725870184,0.919552741399468
0.310344827586207,6,0.626592574148913,0.960119438242373,0.933992537490647
0.310344827586207,7,0.628210930118843,0.965641564465719,0.939498550861463
0.310344827586207,8,0.629387338288021,0.967694683380386,0.941546669207158
0.310344827586207,9,0.630280757187542,0.968444290361174,0.942294724286437
0.310344827586207,10,0.630982178737186,0.968714191852323,0.942564144152959
0.310344827586207,11,0.631547407606307,0.968810310320188,0.942660113151112
0.310344827586207,12,0.63201255471585,0.96884423857608,0.942693995019852
0.344827586206897,4,0.587548202299794,0.889674946164394,0.863894318042616
0.344827586206897,5,0.591123126867883,0.935094474044583,0.909071699209507
0.344827586206897,6,0.593362496165492,0.954863045298215,0.928756743842729
0.344827586206897,7,0.594895025878769,0.963176363308515,0.937041258557504
0.344827586206897,8,0.596009045604779,0.966588563287803,0.940443526333936
0.344827586206897,9,0.596855083828359,0.9679641080326,0.941815646180307
0.344827586206897,10,0.597519306895678,0.968510991104654,0.942361348252882
0.344827586206897,11,0.598054559987597,0.968726044505826,0.942575994412853
0.344827586206897,12,0.598495038954935,0.968809862500494,0.942659671979521
0.379310344827586,4,0.554841829248006,0.867177422501328,0.841568386456651
0.379310344827586,5,0.558217752583347,0.921592657987173,0.89564771886955
0.379310344827586,6,0.56033246547428,0.947471178742867,0.921398797484424
0.379310344827586,7,0.56177968561071,0.959371041138466,0.933250318637271
0.379310344827586,8,0.562831692476152,0.964713954180617,0.938574895310552
0.379310344827586,9,0.563630635258629,0.967070580665292,0.940924566619843
0.379310344827586,10,0.564257883780976,0.968095843222881,0.941947191007434
0.379310344827586,11,0.564763341551876,0.968537044183237,0.942387391282618
0.379310344827586,12,0.565179300880875,0.968725228814057,0.9425751963432
0.413793103448276,4,0.522333543247002,0.841328047841982,0.815944362736743
0.413793103448276,5,0.525511670606053,0.904739889340784,0.878906864804638
0.413793103448276,6,0.527502482075275,0.937434085781012,0.911415094296616
0.413793103448276,7,0.528864909314664,0.953746201885405,0.927650257334611
0.413793103448276,8,0.52985527890214,0.961696536650378,0.93556874941262
0.413793103448276,9,0.530607411478352,0.965504185557449,0.939363222034349
