m,pf,PKI,DPKI_Lower,DPKI_Upper
8,0.1031031031031031,0.7766011990918629,0.9384096386198222,0.919820269088252
8,0.1041041041041041,0.7756639161295857,0.9384095623683057,0.9198201928558114
8,0.10510510510510511,0.7747267907998283,0.938409482389427,0.9198201128973367
8,0.1061061061061061,0.7737898231025907,0.9384093985326671,0.9198200290623874
8,0.10710710710710711,0.7728530130378729,0.9384093106427217,0.9198199411957413
8,0.10810810810810811,0.7719163606056747,0.9384092185593904,0.9198198491372847
8,0.1091091091091091,0.7709798658059962,0.9384091221174657,0.9198197527219001
8,0.11011011011011011,0.7700435286388374,0.9384090211466194,0.9198196517793542
8,0.1111111111111111,0.7691073491041984,0.9384089154712874,0.919819546134182
8,0.11211211211211211,0.768171327202079,0.9384088049105546,0.9198194356055721
8,0.11311311311311312,0.7672354629324795,0.9384086892780352,0.9198193200072474
8,0.11411411411411411,0.7662997562953996,0.9384085683817551,0.9198191991473472
8,0.11511511511511512,0.7653642072908395,0.9384084420240298,0.9198190728283058
8,0.11611611611611611,0.7644288159187991,0.9384083100013425,0.9198189408467297
8,0.11711711711711711,0.7634935821792783,0.9384081721042193,0.9198188029932749
8,0.11811811811811812,0.7625585060722774,0.9384080281171041,0.9198186590525206
8,0.11911911911911911,0.7616235875977962,0.9384078778182312,0.9198185088028419
8,0.12012012012012012,0.7606888267558347,0.9384077209794965,0.9198183520162817
8,0.12112112112112113,0.7597542235463929,0.9384075573663275,0.9198181884584211
8,0.12212212212212212,0.7588197779694709,0.9384073867375501,0.9198180178882464
8,0.12312312312312312,0.7578854900250686,0.9384072088452567,0.9198178400580161
8,0.12412412412412413,0.7569513597131858,0.9384070234346698,0.9198176547131267
8,0.12512512512512514,0.756017387033823,0.9384068302440058,0.9198174615919756
8,0.12612612612612611,0.7550835719869798,0.9384066290043369,0.9198172604258235
8,0.12712712712712712,0.7541499145726563,0.9384064194394507,0.9198170509386533
8,0.12812812812812813,0.7532164147908526,0.9384062012657084,0.9198168328470309
8,0.12912912912912913,0.7522830726415687,0.9384059741919026,0.9198166058599612
8,0.13013013013013014,0.7513498881248043,0.9384057379191122,0.9198163696787431
8,0.13113113113113112,0.7504168612405597,0.9384054921405556,0.9198161239968247
8,0.13213213213213212,0.749483991988835,0.9384052365414433,0.9198158684996549
8,0.13313313313313313,0.7485512803696298,0.9384049707988282,0.9198156028645338
8,0.13413413413413414,0.7476187263829445,0.9384046945814538,0.9198153267604627
8,0.13513513513513514,0.7466863300287788,0.938404407549603,0.9198150398479912
8,0.13613613613613612,0.7457540913071329,0.9384041093549416,0.9198147417790621
8,0.13713713713713713,0.7448220102180066,0.9384037996403638,0.9198144321968577
8,0.13813813813813813,0.7438900867614002,0.9384034780398347,0.9198141107356408
8,0.13913913913913914,0.7429583209373134,0.9384031441782289,0.9198137770205963
8,0.14014014014014015,0.7420267127457464,0.9384027976711727,0.9198134306676709
