m,pf,PKI,DPKI_Mal_Lower,DPKI_Mal_Upper
8,0.7637637637637638,0.1922747880532932,0.01823663019779754,0.01765779237508993
8,0.7647647647647647,0.19144154255403378,0.017908062502252495,0.01733961037301213
8,0.7657657657657657,0.19060845468729407,0.017583773279626097,0.017025572716301597
8,0.7667667667667668,0.189775524453074,0.01726373172662046,0.016715649542309426
8,0.7677677677677678,0.18894275185137374,0.016947906979622833,0.01640981093047003
8,0.7687687687687688,0.1881101368821931,0.016636268117535675,0.016108026905039066
8,0.7697697697697697,0.18727767954553232,0.016328784164608607,0.0158102674378332
8,0.7707707707707707,0.18644537984139123,0.016025424093271432,0.015516502450970884
8,0.7717717717717718,0.1856132377697698,0.01572615682696822,0.015226701819614104
8,0.7727727727727728,0.18478125333066817,0.015430951242992336,0.01494083537471104
8,0.7737737737737738,0.18394942652408616,0.01513977617532171,0.014658872905738925
8,0.7747747747747747,0.183117757350024,0.014852600417454747,0.014380784163447511
8,0.7757757757757757,0.18228624580848157,0.014569392725246136,0.014106538862602408
8,0.7767767767767768,0.18145489189945865,0.014290121819742528,0.01383610668472825
8,0.7777777777777778,0.1806236956229557,0.014014756390017912,0.013569457280851583
8,0.7787787787787788,0.17979265697897232,0.013743265096008053,0.013306560274242797
8,0.7797797797797797,0.17896177596750878,0.013475616571344348,0.013047385263157466
8,0.7807807807807807,0.17813105258856488,0.013211779426186334,0.012791901823576382
8,0.7817817817817818,0.17730048684214073,0.012951722250052845,0.012540079511944231
8,0.7827827827827828,0.17647007872823625,0.012695413614651626,0.012291887867906779
8,0.7837837837837838,0.17563982824685165,0.01244282207670678,0.012047296417045921
8,0.7847847847847848,0.17480973539798664,0.012193916180784359,0.0118062746736129
8,0.7857857857857857,0.1739798001816414,0.011948664462115354,0.011568792143259028
8,0.7867867867867868,0.17315002259781584,0.011707035449416094,0.011334818325763822
8,0.7877877877877878,0.17232040264651002,0.011468997667705812,0.011104322717760415
8,0.7887887887887888,0.17149094032772394,0.01123451964112078,0.010877274815457607
8,0.7897897897897898,0.1706616356414576,0.011003569895725276,0.010653644117358838
8,0.7907907907907907,0.16983248858771094,0.01077611696231875,0.010433400126977441
8,0.7917917917917918,0.16900349916648394,0.010552129379238988,0.010216512355548027
8,0.7927927927927928,0.16817466737777678,0.010331575695161237,0.010002950324733912
8,0.7937937937937938,0.16734599322158933,0.010114424471892541,0.009792683569329918
8,0.7947947947947948,0.1665174766979217,0.009900644287161663,0.009585681639960836
8,0.7957957957957957,0.1656891178067736,0.009690203737403782,0.009381914105774871
8,0.7967967967967968,0.16486091654814522,0.009483071440539996,0.009181350557131976
8,0.7977977977977978,0.1640328729220367,0.009279216038751321,0.008983960608286887
8,0.7987987987987988,0.16320498692844787,0.009078606201246718,0.008789713900066335
8,0.7997997997997998,0.16237725856737878,0.008881210627025217,0.008598580102540521
8,0.8008008008008007,0.16154968783882942,0.00868699804763157,0.008410528917688327
8,0.8018018018018018,0.16072227474279968,0.00849593722990531,0.008225530082056103
