pf,ts_ms,m,timeoutMs,PKI,PKI_Exact,PKI_Observed,DPKI_Lower,DPKI_Upper,DPKI_Mean
0.875,89.5,6.0,89.5,0.11648636752945411,0.1201984126984127,0.1181,0.5209248646387361,0.5404878687895962,0.5307063667141662
0.8875000000000001,89.5,6.0,89.5,0.10853492819653539,0.10817857142857136,0.1101,0.4825216759926264,0.5021193640592967,0.49232052002596155
0.9,89.5,6.0,89.5,0.09561953056431415,0.09615873015873014,0.0971,0.4413810447690747,0.4608872155483855,0.4511341301587301
0.9125000000000001,89.5,6.0,89.5,0.08519375997781317,0.0841388888888888,0.0866,0.39735713569776265,0.4166150073187248,0.40698607150824373
0.925,89.5,6.0,89.5,0.07209604026135774,0.07211904761904757,0.0734,0.35030203270940136,0.36911469456459384,0.3597083636369976
0.9375,89.5,6.0,89.5,0.060992407767497654,0.06009920634920635,0.0622,0.3000681685400625,0.31818379056432405,0.3091259795521933
0.9500000000000001,89.5,6.0,89.5,0.04633753541235484,0.04807936507936501,0.0474,0.24651314744892797,0.26360015522964275,0.25505665133928535
0.9625,89.5,6.0,89.5,0.03566111182774518,0.036059523809523784,0.0366,0.18951048453224245,0.20511086176992982,0.19731067315108614
0.9750000000000001,89.5,6.0,89.5,0.021168214683120794,0.024039682539682455,0.0219,0.12897848888725674,0.14240291421759102,0.13569070155242388
0.9875,89.5,6.0,89.5,0.013314619995216782,0.012019841269841227,0.0139,0.06499095072208684,0.07499215571864763,0.06999155322036724
1.0,89.5,6.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,90.0,6.0,90.0,0.9596272765038306,0.9631746031746031,0.9606,0.9624336178659633,0.9695391712496829,0.9659863945578231
0.0125,90.0,6.0,90.0,0.9501227516535172,0.9511349206349207,0.9512,0.9624336178620927,0.9695391712461836,0.9659863945541382
0.025,90.0,6.0,90.0,0.9349780184125773,0.939095238095238,0.9362,0.9624336176182438,0.9695391710257295,0.9659863943219866
0.037500000000000006,90.0,6.0,90.0,0.9251952227201549,0.9270555555555555,0.9265,0.9624336150442824,0.969539168698713,0.9659863918714977
0.05,90.0,6.0,90.0,0.9218686307799863,0.915015873015873,0.9232,0.9624336020119098,0.9695391569166616,0.9659863794642857
0.0625,90.0,6.0,90.0,0.9009161347770097,0.9029761904761904,0.9024,0.9624335573875494,0.9695391165735449,0.9659863369805471
0.07500000000000001,90.0,6.0,90.0,0.88541703600799,0.8909365079365079,0.887,0.9624334372783954,0.9695390079876016,0.9659862226329985
0.08750000000000001,90.0,6.0,90.0,0.8754583880635181,0.8788968253968253,0.8771,0.9624331624916361,0.9695387595636668,0.9659859610276514
0.1,90.0,6.0,90.0,0.8667097230996076,0.8668571428571429,0.8684,0.9624326032069119,0.9695382539359452,0.9659854285714286
0.1125,90.0,6.0,90.0,0.8573604081656894,0.8548174603174602,0.8591,0.9624315608621358,0.9695373115910996,0.9659844362266177
0.125,90.0,6.0,90.0,0.8413819394949562,0.8427777777777777,0.8432,0.9624297472529758,0.9695356719713545,0.9659827096121651
0.1375,90.0,6.0,90.0,0.8305324465201768,0.8307380952380953,0.8324,0.9624267608465825,0.9695329720570341,0.9659798664518083
0.15000000000000002,90.0,6.0,90.0,0.8144642117884437,0.8186984126984126,0.8164,0.9624220603106304,0.9695287224274647,0.9659753913690475
0.1625,90.0,6.0,90.0,0.804926346091636,0.8066587301587301,0.8069,0.9624149352595067,0.9695222807984069,0.9659686080289568
0.17500000000000002,90.0,6.0,90.0,0.7916767581088757,0.7946190476190476,0.7937,0.9624044742206364,0.9695128230330308,0.9659586486268336
0.1875,90.0,6.0,90.0,0.778831817283217,0.7825793650793651,0.7809,0.962389529825597,0.969499311621779,0.965944420723688
0.2,90.0,6.0,90.0,0.7633815704519621,0.7705396825396825,0.7655,0.9623686812330208,0.9694804616241222,0.9659245714285715
0.21250000000000002,90.0,6.0,90.0,0.7549558242259553,0.7585,0.7571,0.9623401937934492,0.9694547040620368,0.965897448927743
0.225,90.0,6.0,90.0,0.7378068287800539,0.7464603174603175,0.74,0.9623019759705135,0.9694201467508407,0.9658610613606771
0.23750000000000002,90.0,6.0,90.0,0.7286825397974259,0.7344206349206348,0.7309,0.9622515335382175,0.9693745325475979,0.9658130330429077
0.25,90.0,6.0,90.0,0.7190582021166038,0.7223809523809523,0.7213,0.9621859210809084,0.9693151949905202,0.9657505580357143
0.2625,90.0,6.0,90.0,0.7097358445283064,0.7103412698412699,0.712,0.9621016908308379,0.9692390112944519,0.9656703510626449
0.275,90.0,6.0,90.0,0.6938003000739228,0.6983015873015872,0.6961,0.9619948388881477,0.9691423526576112,0.9655685957728795
0.28750000000000003,90.0,6.0,90.0,0.6909943812652566,0.6862619047619046,0.6933,0.9618607488795706,0.9690210318232927,0.9654408903514317
0.30000000000000004,90.0,6.0,90.0,0.672357565849378,0.6742222222222222,0.6747,0.9616941331249241,0.9688702478274568,0.9652821904761905
0.3125,90.0,6.0,90.0,0.6572307815634686,0.6621825396825396,0.6596,0.9614889713940983,0.9686845278495017,0.9650867496218
0.325,90.0,6.0,90.0,0.6430080403431495,0.6501428571428571,0.6454,0.9612384473509418,0.9684576660698171,0.9648480567103794
0.3375,90.0,6.0,90.0,0.6353968189830976,0.6381031746031746,0.6378,0.9609348827930612,0.9681826594251016,0.9645587711090814
0.35000000000000003,90.0,6.0,90.0,0.6135682105354286,0.626063492063492,0.616,0.9605696698065468,0.9678516401424327,0.9642106549744898
0.36250000000000004,90.0,6.0,90.0,0.6188746839896624,0.6140238095238094,0.6213,0.9601332009600744,0.9674558049276384,0.9637945029438564
