M,source,model,E_T_total
2.3063063063063063,Theory,PKI FCFS,0.6183376623376624
2.3063063063063063,Theory,DPKI Upper,0.325319348101507
2.3063063063063063,Theory,DPKI Lower,0.2887038671763648
2.3123123123123124,Theory,PKI FCFS,0.6183376623376624
2.3123123123123124,Theory,DPKI Upper,0.325319348101507
2.3123123123123124,Theory,DPKI Lower,0.2887038671763648
2.3183183183183185,Theory,PKI FCFS,0.6183376623376624
2.3183183183183185,Theory,DPKI Upper,0.325319348101507
2.3183183183183185,Theory,DPKI Lower,0.2887038671763648
2.3243243243243246,Theory,PKI FCFS,0.6183376623376624
2.3243243243243246,Theory,DPKI Upper,0.325319348101507
2.3243243243243246,Theory,DPKI Lower,0.2887038671763648
2.33033033033033,Theory,PKI FCFS,0.6183376623376624
2.33033033033033,Theory,DPKI Upper,0.325319348101507
2.33033033033033,Theory,DPKI Lower,0.2887038671763648
2.3363363363363363,Theory,PKI FCFS,0.6183376623376624
2.3363363363363363,Theory,DPKI Upper,0.325319348101507
2.3363363363363363,Theory,DPKI Lower,0.2887038671763648
2.3423423423423424,Theory,PKI FCFS,0.6183376623376624
2.3423423423423424,Theory,DPKI Upper,0.325319348101507
2.3423423423423424,Theory,DPKI Lower,0.2887038671763648
2.3483483483483485,Theory,PKI FCFS,0.6183376623376624
2.3483483483483485,Theory,DPKI Upper,0.325319348101507
2.3483483483483485,Theory,DPKI Lower,0.2887038671763648
2.3543543543543546,Theory,PKI FCFS,0.6183376623376624
2.3543543543543546,Theory,DPKI Upper,0.325319348101507
2.3543543543543546,Theory,DPKI Lower,0.2887038671763648
2.3603603603603602,Theory,PKI FCFS,0.6183376623376624
2.3603603603603602,Theory,DPKI Upper,0.325319348101507
2.3603603603603602,Theory,DPKI Lower,0.2887038671763648
2.3663663663663663,Theory,PKI FCFS,0.6183376623376624
2.3663663663663663,Theory,DPKI Upper,0.325319348101507
2.3663663663663663,Theory,DPKI Lower,0.2887038671763648
2.3723723723723724,Theory,PKI FCFS,0.6183376623376624
2.3723723723723724,Theory,DPKI Upper,0.325319348101507
2.3723723723723724,Theory,DPKI Lower,0.2887038671763648
2.3783783783783785,Theory,PKI FCFS,0.6183376623376624
2.3783783783783785,Theory,DPKI Upper,0.325319348101507
2.3783783783783785,Theory,DPKI Lower,0.2887038671763648
2.3843843843843846,Theory,PKI FCFS,0.6183376623376624
2.3843843843843846,Theory,DPKI Upper,0.325319348101507
2.3843843843843846,Theory,DPKI Lower,0.2887038671763648
2.3903903903903903,Theory,PKI FCFS,0.6183376623376624
2.3903903903903903,Theory,DPKI Upper,0.325319348101507
2.3903903903903903,Theory,DPKI Lower,0.2887038671763648
2.3963963963963963,Theory,PKI FCFS,0.6183376623376624
2.3963963963963963,Theory,DPKI Upper,0.325319348101507
2.3963963963963963,Theory,DPKI Lower,0.2887038671763648
2.4024024024024024,Theory,PKI FCFS,0.6183376623376624
2.4024024024024024,Theory,DPKI Upper,0.325319348101507
2.4024024024024024,Theory,DPKI Lower,0.2887038671763648
2.4084084084084085,Theory,PKI FCFS,0.6183376623376624
2.4084084084084085,Theory,DPKI Upper,0.325319348101507
2.4084084084084085,Theory,DPKI Lower,0.2887038671763648
2.4144144144144146,Theory,PKI FCFS,0.6183376623376624
2.4144144144144146,Theory,DPKI Upper,0.325319348101507
2.4144144144144146,Theory,DPKI Lower,0.2887038671763648
2.4204204204204203,Theory,PKI FCFS,0.6183376623376624
2.4204204204204203,Theory,DPKI Upper,0.325319348101507
2.4204204204204203,Theory,DPKI Lower,0.2887038671763648
2.4264264264264264,Theory,PKI FCFS,0.6183376623376624
2.4264264264264264,Theory,DPKI Upper,0.325319348101507
2.4264264264264264,Theory,DPKI Lower,0.2887038671763648
2.4324324324324325,Theory,PKI FCFS,0.6183376623376624
2.4324324324324325,Theory,DPKI Upper,0.325319348101507
2.4324324324324325,Theory,DPKI Lower,0.2887038671763648
2.4384384384384385,Theory,PKI FCFS,0.6183376623376624
2.4384384384384385,Theory,DPKI Upper,0.325319348101507
2.4384384384384385,Theory,DPKI Lower,0.2887038671763648
2.4444444444444446,Theory,PKI FCFS,0.6183376623376624
2.4444444444444446,Theory,DPKI Upper,0.325319348101507
2.4444444444444446,Theory,DPKI Lower,0.2887038671763648
2.4504504504504503,Theory,PKI FCFS,0.6183376623376624
2.4504504504504503,Theory,DPKI Upper,0.325319348101507
2.4504504504504503,Theory,DPKI Lower,0.2887038671763648
2.4564564564564564,Theory,PKI FCFS,0.6183376623376624
2.4564564564564564,Theory,DPKI Upper,0.325319348101507
2.4564564564564564,Theory,DPKI Lower,0.2887038671763648
2.4624624624624625,Theory,PKI FCFS,0.6183376623376624
2.4624624624624625,Theory,DPKI Upper,0.325319348101507
2.4624624624624625,Theory,DPKI Lower,0.2887038671763648
2.4684684684684686,Theory,PKI FCFS,0.6183376623376624
2.4684684684684686,Theory,DPKI Upper,0.325319348101507
2.4684684684684686,Theory,DPKI Lower,0.2887038671763648
2.4744744744744747,Theory,PKI FCFS,0.6183376623376624
2.4744744744744747,Theory,DPKI Upper,0.325319348101507
2.4744744744744747,Theory,DPKI Lower,0.2887038671763648
2.4804804804804803,Theory,PKI FCFS,0.6183376623376624
2.4804804804804803,Theory,DPKI Upper,0.325319348101507
2.4804804804804803,Theory,DPKI Lower,0.2887038671763648
2.4864864864864864,Theory,PKI FCFS,0.6183376623376624
2.4864864864864864,Theory,DPKI Upper,0.325319348101507
2.4864864864864864,Theory,DPKI Lower,0.2887038671763648
2.4924924924924925,Theory,PKI FCFS,0.6183376623376624
2.4924924924924925,Theory,DPKI Upper,0.325319348101507
2.4924924924924925,Theory,DPKI Lower,0.2887038671763648
2.4984984984984986,Theory,PKI FCFS,0.6183376623376624
2.4984984984984986,Theory,DPKI Upper,0.325319348101507
2.4984984984984986,Theory,DPKI Lower,0.2887038671763648
2.5045045045045047,Theory,PKI FCFS,0.6183376623376624
2.5045045045045047,Theory,DPKI Upper,0.325319348101507
2.5045045045045047,Theory,DPKI Lower,0.2887038671763648
2.5105105105105103,Theory,PKI FCFS,0.6183376623376624
2.5105105105105103,Theory,DPKI Upper,0.325319348101507
2.5105105105105103,Theory,DPKI Lower,0.2887038671763648
2.5165165165165164,Theory,PKI FCFS,0.6183376623376624
2.5165165165165164,Theory,DPKI Upper,0.325319348101507
2.5165165165165164,Theory,DPKI Lower,0.2887038671763648
2.5225225225225225,Theory,PKI FCFS,0.6183376623376624
2.5225225225225225,Theory,DPKI Upper,0.325319348101507
2.5225225225225225,Theory,DPKI Lower,0.2887038671763648
2.5285285285285286,Theory,PKI FCFS,0.6183376623376624
2.5285285285285286,Theory,DPKI Upper,0.325319348101507
2.5285285285285286,Theory,DPKI Lower,0.2887038671763648
2.5345345345345347,Theory,PKI FCFS,0.6183376623376624
2.5345345345345347,Theory,DPKI Upper,0.325319348101507
2.5345345345345347,Theory,DPKI Lower,0.2887038671763648
2.5405405405405403,Theory,PKI FCFS,0.6183376623376624
2.5405405405405403,Theory,DPKI Upper,0.325319348101507
2.5405405405405403,Theory,DPKI Lower,0.2887038671763648
2.5465465465465464,Theory,PKI FCFS,0.6183376623376624
2.5465465465465464,Theory,DPKI Upper,0.325319348101507
2.5465465465465464,Theory,DPKI Lower,0.2887038671763648
2.5525525525525525,Theory,PKI FCFS,0.6183376623376624
2.5525525525525525,Theory,DPKI Upper,0.325319348101507
2.5525525525525525,Theory,DPKI Lower,0.2887038671763648
2.5585585585585586,Theory,PKI FCFS,0.6183376623376624
2.5585585585585586,Theory,DPKI Upper,0.325319348101507
2.5585585585585586,Theory,DPKI Lower,0.2887038671763648
2.5645645645645647,Theory,PKI FCFS,0.6183376623376624
2.5645645645645647,Theory,DPKI Upper,0.325319348101507
2.5645645645645647,Theory,DPKI Lower,0.2887038671763648
2.5705705705705704,Theory,PKI FCFS,0.6183376623376624
2.5705705705705704,Theory,DPKI Upper,0.325319348101507
2.5705705705705704,Theory,DPKI Lower,0.2887038671763648
2.5765765765765765,Theory,PKI FCFS,0.6183376623376624
2.5765765765765765,Theory,DPKI Upper,0.325319348101507
2.5765765765765765,Theory,DPKI Lower,0.2887038671763648
2.5825825825825826,Theory,PKI FCFS,0.6183376623376624
2.5825825825825826,Theory,DPKI Upper,0.325319348101507
2.5825825825825826,Theory,DPKI Lower,0.2887038671763648
2.5885885885885886,Theory,PKI FCFS,0.6183376623376624
2.5885885885885886,Theory,DPKI Upper,0.325319348101507
2.5885885885885886,Theory,DPKI Lower,0.2887038671763648
2.5945945945945947,Theory,PKI FCFS,0.6183376623376624
2.5945945945945947,Theory,DPKI Upper,0.325319348101507
2.5945945945945947,Theory,DPKI Lower,0.2887038671763648
2.6006006006006004,Theory,PKI FCFS,0.6183376623376624
2.6006006006006004,Theory,DPKI Upper,0.325319348101507
2.6006006006006004,Theory,DPKI Lower,0.2887038671763648
2.6066066066066065,Theory,PKI FCFS,0.6183376623376624
2.6066066066066065,Theory,DPKI Upper,0.325319348101507
2.6066066066066065,Theory,DPKI Lower,0.2887038671763648
2.6126126126126126,Theory,PKI FCFS,0.6183376623376624
2.6126126126126126,Theory,DPKI Upper,0.325319348101507
2.6126126126126126,Theory,DPKI Lower,0.2887038671763648
2.6186186186186187,Theory,PKI FCFS,0.6183376623376624
2.6186186186186187,Theory,DPKI Upper,0.325319348101507
2.6186186186186187,Theory,DPKI Lower,0.2887038671763648
2.6246246246246248,Theory,PKI FCFS,0.6183376623376624
2.6246246246246248,Theory,DPKI Upper,0.325319348101507
2.6246246246246248,Theory,DPKI Lower,0.2887038671763648
2.6306306306306304,Theory,PKI FCFS,0.6183376623376624
2.6306306306306304,Theory,DPKI Upper,0.325319348101507
2.6306306306306304,Theory,DPKI Lower,0.2887038671763648
2.6366366366366365,Theory,PKI FCFS,0.6183376623376624
2.6366366366366365,Theory,DPKI Upper,0.325319348101507
2.6366366366366365,Theory,DPKI Lower,0.2887038671763648
2.6426426426426426,Theory,PKI FCFS,0.6183376623376624
2.6426426426426426,Theory,DPKI Upper,0.325319348101507
2.6426426426426426,Theory,DPKI Lower,0.2887038671763648
2.6486486486486487,Theory,PKI FCFS,0.6183376623376624
2.6486486486486487,Theory,DPKI Upper,0.325319348101507
2.6486486486486487,Theory,DPKI Lower,0.2887038671763648
2.6546546546546548,Theory,PKI FCFS,0.6183376623376624
2.6546546546546548,Theory,DPKI Upper,0.325319348101507
2.6546546546546548,Theory,DPKI Lower,0.2887038671763648
2.6606606606606604,Theory,PKI FCFS,0.6183376623376624
2.6606606606606604,Theory,DPKI Upper,0.325319348101507
2.6606606606606604,Theory,DPKI Lower,0.2887038671763648
2.6666666666666665,Theory,PKI FCFS,0.6183376623376624
2.6666666666666665,Theory,DPKI Upper,0.325319348101507
2.6666666666666665,Theory,DPKI Lower,0.2887038671763648
2.6726726726726726,Theory,PKI FCFS,0.6183376623376624
2.6726726726726726,Theory,DPKI Upper,0.325319348101507
2.6726726726726726,Theory,DPKI Lower,0.2887038671763648
2.6786786786786787,Theory,PKI FCFS,0.6183376623376624
2.6786786786786787,Theory,DPKI Upper,0.325319348101507
2.6786786786786787,Theory,DPKI Lower,0.2887038671763648
2.684684684684685,Theory,PKI FCFS,0.6183376623376624
2.684684684684685,Theory,DPKI Upper,0.325319348101507
2.684684684684685,Theory,DPKI Lower,0.2887038671763648
2.6906906906906904,Theory,PKI FCFS,0.6183376623376624
2.6906906906906904,Theory,DPKI Upper,0.325319348101507
2.6906906906906904,Theory,DPKI Lower,0.2887038671763648
2.6966966966966965,Theory,PKI FCFS,0.6183376623376624
2.6966966966966965,Theory,DPKI Upper,0.325319348101507
2.6966966966966965,Theory,DPKI Lower,0.2887038671763648
2.7027027027027026,Theory,PKI FCFS,0.6183376623376624
