p,source,model,E_T_total
0.1484848484848485,Theory,DPKI Upper,0.20138662490987433
0.1484848484848485,Theory,DPKI Lower,0.1893248132902402
0.15151515151515152,Theory,PKI FCFS,0.2226192964123999
0.15151515151515152,Theory,DPKI Upper,0.20303252962119597
0.15151515151515152,Theory,DPKI Lower,0.1908234762300472
0.15454545454545454,Theory,PKI FCFS,0.2236615560490017
0.15454545454545454,Theory,DPKI Upper,0.20468905700795037
0.15454545454545454,Theory,DPKI Lower,0.1923317719470225
0.1575757575757576,Theory,PKI FCFS,0.22470407861578648
0.1575757575757576,Theory,DPKI Upper,0.2063562957649862
0.1575757575757576,Theory,DPKI Lower,0.19384978348156773
0.1606060606060606,Theory,PKI FCFS,0.2257468644941019
0.1606060606060606,Theory,DPKI Upper,0.20803433560963525
0.1606060606060606,Theory,DPKI Lower,0.19537759483138412
0.16363636363636364,Theory,PKI FCFS,0.22678991406603347
0.16363636363636364,Theory,DPKI Upper,0.20972326729648788
0.16363636363636364,Theory,DPKI Lower,0.19691529096530702
0.16666666666666669,Theory,PKI FCFS,0.22783322771440642
0.16666666666666669,Theory,DPKI Upper,0.21142318263242632
0.16666666666666669,Theory,DPKI Lower,0.1984629578373801
0.1696969696969697,Theory,PKI FCFS,0.22887680582278733
0.1696969696969697,Theory,DPKI Upper,0.21313417449191985
0.1696969696969697,Theory,DPKI Lower,0.20002068240117588
0.17272727272727273,Theory,PKI FCFS,0.22992064877548582
0.17272727272727273,Theory,DPKI Upper,0.21485633683258754
0.17272727272727273,Theory,DPKI Lower,0.20158855262436598
0.17575757575757578,Theory,PKI FCFS,0.23096475695755678
0.17575757575757578,Theory,DPKI Upper,0.21658976471103403
0.17575757575757578,Theory,DPKI Lower,0.20316665750354784
0.1787878787878788,Theory,PKI FCFS,0.23200913075480162
0.1787878787878788,Theory,DPKI Upper,0.21833455429896398
0.1787878787878788,Theory,DPKI Lower,0.20475508707933132
0.18181818181818182,Theory,PKI FCFS,0.23305377055377055
0.18181818181818182,Theory,DPKI Upper,0.22009080289958116
0.18181818181818182,Theory,DPKI Lower,0.20635393245169267
0.18484848484848487,Theory,PKI FCFS,0.23409867674176418
0.18484848484848487,Theory,DPKI Upper,0.221858608964277
0.18484848484848487,Theory,DPKI Lower,0.20796328579559925
0.1878787878787879,Theory,PKI FCFS,0.23514384970683527
0.1878787878787879,Theory,DPKI Upper,0.22363807210961653
0.1878787878787879,Theory,DPKI Lower,0.20958324037691223
0.19090909090909092,Theory,PKI FCFS,0.23618928983779078
0.19090909090909092,Theory,DPKI Upper,0.22542929313462576
0.19090909090909092,Theory,DPKI Lower,0.21121389056857232
0.19393939393939397,Theory,PKI FCFS,0.2372349975241935
0.19393939393939397,Theory,DPKI Upper,0.22723237403838845
0.19393939393939397,Theory,DPKI Lower,0.21285533186707437
0.196969696969697,Theory,PKI FCFS,0.23828097315636396
0.196969696969697,Theory,DPKI Upper,0.2290474180379575
0.196969696969697,Theory,DPKI Lower,0.21450766090923729
0.20303030303030306,Theory,PKI FCFS,0.24037372982309008
0.20303030303030306,Theory,DPKI Upper,0.23271381439230243
0.20303030303030306,Theory,DPKI Lower,0.21784537457617498
0.20606060606060608,Theory,PKI FCFS,0.24142051164209227
